ts,date_utc,entity,class,block,value_usd,status
1754866800,2025-08-10,Arbitrum_L1Gateway,legacy-escrow,23113796,139738.021025,ok
1754866800,2025-08-10,Berachain,native-oft,8946119,86035802.271626,ok
1754866800,2025-08-10,Flare,native-oft,45903084,73422144.970766,ok
1754866800,2025-08-10,HyperEVM,native-oft,10792111,131377974.251133,ok
1754866800,2025-08-10,Ink,native-oft,21368389,50058387.227634,ok
1754866800,2025-08-10,Mantle,native-oft,83368244,0.000000,not-deployed
1754866800,2025-08-10,Optimism,native-oft,139634011,0.000000,not-deployed
1754866800,2025-08-10,Optimism_L1Bridge,legacy-escrow,23113796,245374552.861472,ok
1754866800,2025-08-10,Plasma,native-oft,,0.000000,pre-history
1754866800,2025-08-10,Polygon,upgraded-in-place,75050114,1227110236.835539,ok
1754866800,2025-08-10,Polygon_ERC20Pred,legacy-escrow,23113796,0.000000,ok
1754866800,2025-08-10,Rootstock,native-oft,7874321,3819367.739187,ok
1754866800,2025-08-10,USDT0_lockbox,collateral,23113796,1638748303.919064,ok
1754866800,2025-08-10,Unichain,native-oft,24118441,101892128.945589,ok
1754866800,2025-08-10,XLayer,native-oft,29820304,0.000000,not-deployed
1755039600,2025-08-12,Arbitrum,upgraded-in-place,367794013,1154906019.610367,ok
1755039600,2025-08-12,Arbitrum_L1Gateway,legacy-escrow,23128106,139738.021025,ok
1755039600,2025-08-12,Berachain,native-oft,9035434,95904525.998082,ok
1755039600,2025-08-12,Flare,native-oft,46001228,70697131.012467,ok
1755039600,2025-08-12,HyperEVM,native-oft,10967791,136545613.560423,ok
1755039600,2025-08-12,Ink,native-oft,21541189,50895632.740154,ok
1755039600,2025-08-12,Mantle,native-oft,83454644,0.000000,not-deployed
1755039600,2025-08-12,Optimism,native-oft,139720411,0.000000,not-deployed
1755039600,2025-08-12,Optimism_L1Bridge,legacy-escrow,23128106,245429261.459056,ok
1755039600,2025-08-12,Plasma,native-oft,,0.000000,pre-history
1755039600,2025-08-12,Polygon,upgraded-in-place,75131399,1237089359.267933,ok
1755039600,2025-08-12,Polygon_ERC20Pred,legacy-escrow,23128106,0.000000,ok
1755039600,2025-08-12,Rootstock,native-oft,7881367,3690765.553310,ok
1755039600,2025-08-12,USDT0_lockbox,collateral,23128106,1677274686.931667,ok
1755039600,2025-08-12,Unichain,native-oft,24291241,111068461.705444,ok
1755039600,2025-08-12,XLayer,native-oft,30210538,0.000000,not-deployed
1755212400,2025-08-14,Arbitrum,upgraded-in-place,368486525,1132303268.413548,ok
1755212400,2025-08-14,Arbitrum_L1Gateway,legacy-escrow,23142417,139728.017286,ok
1755212400,2025-08-14,Berachain,native-oft,9124682,85350872.398995,ok
1755212400,2025-08-14,Flare,native-oft,46097718,70172193.513576,ok
1755212400,2025-08-14,HyperEVM,native-oft,11143470,144354587.548823,ok
1755212400,2025-08-14,Ink,native-oft,21713989,49924829.289882,ok
1755212400,2025-08-14,Mantle,native-oft,83541044,0.000000,not-deployed
1755212400,2025-08-14,Optimism,native-oft,139806811,0.000000,not-deployed
1755212400,2025-08-14,Optimism_L1Bridge,legacy-escrow,23142417,227849183.632345,ok
1755212400,2025-08-14,Plasma,native-oft,,0.000000,pre-history
1755212400,2025-08-14,Polygon,upgraded-in-place,75212239,1275210132.814110,ok
1755212400,2025-08-14,Polygon_ERC20Pred,legacy-escrow,23142417,0.000000,ok
1755212400,2025-08-14,Rootstock,native-oft,7888317,3583883.396664,ok
1755212400,2025-08-14,USDT0_lockbox,collateral,23142417,1622368620.648614,ok
1755212400,2025-08-14,Unichain,native-oft,24464041,83652579.420965,ok
1755212400,2025-08-14,XLayer,native-oft,30601475,0.000000,not-deployed
1755385200,2025-08-16,Arbitrum,upgraded-in-place,369178529,1141002812.772169,ok
1755385200,2025-08-16,Arbitrum_L1Gateway,legacy-escrow,23156747,346330.941079,ok
1755385200,2025-08-16,Berachain,native-oft,9214378,58765042.925415,ok
1755385200,2025-08-16,Flare,native-oft,46197087,86317686.665064,ok
1755385200,2025-08-16,HyperEVM,native-oft,11319028,153877841.993158,ok
1755385200,2025-08-16,Ink,native-oft,21886789,49746817.809746,ok
1755385200,2025-08-16,Mantle,native-oft,83627444,0.000000,not-deployed
1755385200,2025-08-16,Optimism,native-oft,139893211,0.000000,not-deployed
1755385200,2025-08-16,Optimism_L1Bridge,legacy-escrow,23156747,202284667.549125,ok
1755385200,2025-08-16,Plasma,native-oft,,0.000000,pre-history
1755385200,2025-08-16,Polygon,upgraded-in-place,75293434,1305961917.441095,ok
1755385200,2025-08-16,Polygon_ERC20Pred,legacy-escrow,23156747,0.000000,ok
1755385200,2025-08-16,Rootstock,native-oft,7895465,3405472.972109,ok
1755385200,2025-08-16,USDT0_lockbox,collateral,23156747,1621042256.545487,ok
1755385200,2025-08-16,Unichain,native-oft,24636841,76621830.293347,ok
1755385200,2025-08-16,XLayer,native-oft,30947866,0.000000,not-deployed
1755558000,2025-08-18,Arbitrum,upgraded-in-place,369870320,1155967336.342498,ok
1755558000,2025-08-18,Arbitrum_L1Gateway,legacy-escrow,23171091,346330.941079,ok
1755558000,2025-08-18,Berachain,native-oft,9303968,65631019.258212,ok
1755558000,2025-08-18,Flare,native-oft,46294932,86241350.021512,ok
1755558000,2025-08-18,HyperEVM,native-oft,11494708,157061440.680910,ok
1755558000,2025-08-18,Ink,native-oft,22059589,49559329.343565,ok
1755558000,2025-08-18,Mantle,native-oft,83713844,0.000000,not-deployed
1755558000,2025-08-18,Optimism,native-oft,139979611,0.000000,not-deployed
1755558000,2025-08-18,Optimism_L1Bridge,legacy-escrow,23171091,203980791.535950,ok
1755558000,2025-08-18,Plasma,native-oft,,0.000000,pre-history
1755558000,2025-08-18,Polygon,upgraded-in-place,75374723,1375335135.424684,ok
1755558000,2025-08-18,Polygon_ERC20Pred,legacy-escrow,23171091,0.000000,ok
1755558000,2025-08-18,Rootstock,native-oft,7902453,3103631.561889,ok
1755558000,2025-08-18,USDT0_lockbox,collateral,23171091,1644242805.781537,ok
1755558000,2025-08-18,Unichain,native-oft,24809641,74292787.010805,ok
1755558000,2025-08-18,XLayer,native-oft,31255074,0.000000,not-deployed
1755730800,2025-08-20,Arbitrum,upgraded-in-place,370562484,961439397.319152,ok
1755730800,2025-08-20,Arbitrum_L1Gateway,legacy-escrow,23185436,346330.941079,ok
1755730800,2025-08-20,Berachain,native-oft,9393357,69672860.365380,ok
1755730800,2025-08-20,Flare,native-oft,46392005,81972440.211010,ok
1755730800,2025-08-20,HyperEVM,native-oft,11670388,184376656.658357,ok
1755730800,2025-08-20,Ink,native-oft,22232389,64360392.915922,ok
1755730800,2025-08-20,Mantle,native-oft,83800244,0.000000,not-deployed
1755730800,2025-08-20,Optimism,native-oft,140066011,0.000000,not-deployed
1755730800,2025-08-20,Optimism_L1Bridge,legacy-escrow,23185436,205568921.075038,ok
1755730800,2025-08-20,Plasma,native-oft,,0.000000,pre-history
1755730800,2025-08-20,Polygon,upgraded-in-place,75455903,1371285928.659403,ok
1755730800,2025-08-20,Polygon_ERC20Pred,legacy-escrow,23185436,0.000000,ok
1755730800,2025-08-20,Rootstock,native-oft,7909369,2944528.143892,ok
1755730800,2025-08-20,USDT0_lockbox,collateral,23185436,1505518698.964831,ok
1755730800,2025-08-20,Unichain,native-oft,24982441,90850961.104773,ok
1755730800,2025-08-20,XLayer,native-oft,31596046,0.000000,not-deployed
1755903600,2025-08-22,Arbitrum,upgraded-in-place,371254751,912022645.101081,ok
1755903600,2025-08-22,Arbitrum_L1Gateway,legacy-escrow,23199764,346330.941079,ok
1755903600,2025-08-22,Berachain,native-oft,9482473,55881530.392664,ok
1755903600,2025-08-22,Flare,native-oft,46487101,65517561.369054,ok
1755903600,2025-08-22,HyperEVM,native-oft,11846068,203243956.375748,ok
1755903600,2025-08-22,Ink,native-oft,22405189,63242160.763354,ok
1755903600,2025-08-22,Mantle,native-oft,83886644,0.000000,not-deployed
1755903600,2025-08-22,Optimism,native-oft,140152411,0.000000,not-deployed
1755903600,2025-08-22,Optimism_L1Bridge,legacy-escrow,23199764,207345821.371803,ok
1755903600,2025-08-22,Plasma,native-oft,,0.000000,pre-history
1755903600,2025-08-22,Polygon,upgraded-in-place,75536521,1371056077.926937,ok
1755903600,2025-08-22,Polygon_ERC20Pred,legacy-escrow,23199764,0.000000,ok
1755903600,2025-08-22,Rootstock,native-oft,7916282,2864248.259431,ok
1755903600,2025-08-22,USDT0_lockbox,collateral,23199764,1434189013.732163,ok
1755903600,2025-08-22,Unichain,native-oft,25155241,96396120.594591,ok
1755903600,2025-08-22,XLayer,native-oft,31916532,0.000000,not-deployed
1756076400,2025-08-24,Arbitrum,upgraded-in-place,371946704,918327901.065744,ok
1756076400,2025-08-24,Arbitrum_L1Gateway,legacy-escrow,23214097,346330.941079,ok
1756076400,2025-08-24,Berachain,native-oft,9571727,22428561.128923,ok
1756076400,2025-08-24,Flare,native-oft,46581375,67188056.085690,ok
1756076400,2025-08-24,HyperEVM,native-oft,12021042,165261802.266094,ok
1756076400,2025-08-24,Ink,native-oft,22577989,63317078.476775,ok
1756076400,2025-08-24,Mantle,native-oft,83973044,0.000000,not-deployed
1756076400,2025-08-24,Optimism,native-oft,140238811,0.000000,not-deployed
1756076400,2025-08-24,Optimism_L1Bridge,legacy-escrow,23214097,210775077.566275,ok
1756076400,2025-08-24,Plasma,native-oft,,0.000000,pre-history
1756076400,2025-08-24,Polygon,upgraded-in-place,75614843,1383932663.286176,ok
1756076400,2025-08-24,Polygon_ERC20Pred,legacy-escrow,23214097,0.000000,ok
1756076400,2025-08-24,Rootstock,native-oft,7923302,2806065.312461,ok
1756076400,2025-08-24,USDT0_lockbox,collateral,23214097,1395173011.619288,ok
1756076400,2025-08-24,Unichain,native-oft,25328041,91376998.120374,ok
1756076400,2025-08-24,XLayer,native-oft,32262011,0.000000,not-deployed
1756249200,2025-08-26,Arbitrum,upgraded-in-place,372639243,963023933.140993,ok
1756249200,2025-08-26,Arbitrum_L1Gateway,legacy-escrow,23228430,346311.918860,ok
1756249200,2025-08-26,Berachain,native-oft,9660589,40339134.502323,ok
1756249200,2025-08-26,Flare,native-oft,46678236,79920968.478771,ok
1756249200,2025-08-26,HyperEVM,native-oft,12196722,150214476.063127,ok
1756249200,2025-08-26,Ink,native-oft,22750789,63213214.192940,ok
1756249200,2025-08-26,Mantle,native-oft,84059444,0.000000,not-deployed
1756249200,2025-08-26,Optimism,native-oft,140325211,0.000000,not-deployed
1756249200,2025-08-26,Optimism_L1Bridge,legacy-escrow,23228430,203176314.800854,ok
1756249200,2025-08-26,Plasma,native-oft,,0.000000,pre-history
1756249200,2025-08-26,Polygon,upgraded-in-place,75695740,1348190238.736370,ok
1756249200,2025-08-26,Polygon_ERC20Pred,legacy-escrow,23228430,0.000000,ok
1756249200,2025-08-26,Rootstock,native-oft,7930256,2568478.472366,ok
1756249200,2025-08-26,USDT0_lockbox,collateral,23228430,1397829355.189944,ok
1756249200,2025-08-26,Unichain,native-oft,25500841,64334106.835195,ok
1756249200,2025-08-26,XLayer,native-oft,32610325,0.000000,not-deployed
1756422000,2025-08-28,Arbitrum,upgraded-in-place,373331606,885686364.952098,ok
1756422000,2025-08-28,Arbitrum_L1Gateway,legacy-escrow,23242755,346311.918860,ok
1756422000,2025-08-28,Berachain,native-oft,9747960,56946412.753562,ok
1756422000,2025-08-28,Flare,native-oft,46773606,63609712.186385,ok
1756422000,2025-08-28,HyperEVM,native-oft,12372402,170841578.961786,ok
1756422000,2025-08-28,Ink,native-oft,22923589,63324054.814098,ok
1756422000,2025-08-28,Mantle,native-oft,84145844,0.000000,not-deployed
1756422000,2025-08-28,Optimism,native-oft,140411611,0.000000,not-deployed
1756422000,2025-08-28,Optimism_L1Bridge,legacy-escrow,23242755,205050326.129682,ok
1756422000,2025-08-28,Plasma,native-oft,,0.000000,pre-history
1756422000,2025-08-28,Polygon,upgraded-in-place,75776808,1408314232.104264,ok
1756422000,2025-08-28,Polygon_ERC20Pred,legacy-escrow,23242755,0.000000,ok
1756422000,2025-08-28,Rootstock,native-oft,7937152,2578950.675220,ok
1756422000,2025-08-28,USDT0_lockbox,collateral,23242755,2767540614.837905,ok
1756422000,2025-08-28,Unichain,native-oft,25673641,83266525.547375,ok
1756422000,2025-08-28,XLayer,native-oft,32960679,0.000000,not-deployed
1756594800,2025-08-30,Arbitrum,upgraded-in-place,374023756,906642133.356410,ok
1756594800,2025-08-30,Arbitrum_L1Gateway,legacy-escrow,23257102,346311.918860,ok
1756594800,2025-08-30,Berachain,native-oft,9837672,67160743.095081,ok
1756594800,2025-08-30,Flare,native-oft,46869569,63362793.442348,ok
1756594800,2025-08-30,HyperEVM,native-oft,12548013,177789729.882275,ok
1756594800,2025-08-30,Ink,native-oft,23096389,63480535.317691,ok
1756594800,2025-08-30,Mantle,native-oft,84232244,0.000000,not-deployed
1756594800,2025-08-30,Optimism,native-oft,140498011,0.000000,not-deployed
